City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Kloulklubed,PW,2020-02-20 21:34:57,7.04,134.26,78.8,78,90,9.17
108,Iquique,CL,2020-02-20 21:34:57,-20.22,-70.14,77.0,57,22,16.11
109,Ilulissat,GL,2020-02-20 21:34:57,69.22,-51.1,-0.4,59,20,10.29
110,La Asuncion,VE,2020-02-20 21:34:57,11.03,-63.86,84.2,58,44,20.8
111,Khatanga,RU,2020-02-20 21:34:58,71.97,102.5,2.32,88,95,7.81
112,Maneadero,MX,2020-02-20 21:34:58,31.72,-116.57,66.0,81,91,1.99
113,Chatellerault,FR,2020-02-20 21:34:58,46.8,0.53,45.0,93,75,6.93
114,Kaitangata,NZ,2020-02-20 21:34:58,-46.28,169.85,64.99,89,100,1.01
115,Zatoka,UA,2020-02-20 21:34:58,46.07,30.47,41.0,93,90,8.95
116,Lishan,CN,2020-02-20 21:34:59,31.86,113.3,47.97,65,72,5.57
117,Iranduba,BR,2020-02-20 21:34:59,-3.28,-60.19,84.2,74,75,5.82
118,Price,US,2020-02-20 21:32:00,39.6,-110.81,37.99,16,1,3.36
119,Hamilton,US,2020-02-20 21:34:59,39.18,-84.53,33.8,47,1,12.75
120,Severo-Kurilsk,RU,2020-02-20 21:35:00,50.68,156.12,16.77,91,99,17.2
121,Teya,RU,2020-02-20 21:35:00,60.38,92.63,12.97,95,16,4.9
122,Tiksi,RU,2020-02-20 21:35:00,71.69,128.87,-1.3,86,100,11.61
123,Hojai,IN,2020-02-20 21:35:00,26.0,92.87,62.33,85,64,2.93
124,Pueblo,US,2020-02-20 21:31:26,38.25,-104.61,32.0,68,1,3.36
125,Aklavik,CA,2020-02-20 21:35:01,68.22,-135.01,3.2,77,40,2.24
126,Maputo,MZ,2020-02-20 21:30:16,-25.97,32.59,80.6,88,75,4.7
127,Tirau,NZ,2020-02-20 21:35:01,-37.98,175.75,78.01,57,68,1.99
128,Arman,RU,2020-02-20 21:35:01,59.7,150.17,-7.04,86,0,5.28
129,Leningradskiy,RU,2020-02-20 21:35:02,69.38,178.42,-6.9,92,100,21.59
130,Vila,PT,2020-02-20 21:35:02,42.03,-8.16,54.0,81,6,6.93
131,Barrow,US,2020-02-20 21:35:02,71.29,-156.79,-5.8,76,90,9.17
132,Moose Factory,CA,2020-02-20 21:35:02,51.26,-80.61,14.0,43,75,17.22
133,Pingliang,CN,2020-02-20 21:35:03,35.54,106.69,23.29,38,0,1.3
134,La Baule-Escoublac,FR,2020-02-20 21:35:03,47.29,-2.36,46.4,75,20,4.7
135,Sungaipenuh,ID,2020-02-20 21:35:03,-2.08,101.38,60.89,98,100,3.33
136,Chapadinha,BR,2020-02-20 21:35:03,-3.74,-43.36,75.22,97,100,0.18
137,Balkhash,KZ,2020-02-20 21:35:03,46.84,74.98,18.52,80,100,14.5
138,Ulaangom,MN,2020-02-20 21:35:04,49.98,92.07,-8.81,97,97,1.66
139,Kununurra,AU,2020-02-20 21:35:04,-15.77,128.73,78.8,83,100,5.82
140,Poso,ID,2020-02-20 21:35:05,-1.4,120.75,67.21,85,100,2.19
141,Nicolae Balcescu,RO,2020-02-20 21:35:06,46.47,26.92,34.0,86,75,5.82
142,Carnarvon,AU,2020-02-20 21:35:06,-24.87,113.63,78.8,74,100,11.41
143,East London,ZA,2020-02-20 21:32:44,-33.02,27.91,75.92,78,70,14.72
144,Tianpeng,CN,2020-02-20 21:35:06,30.99,103.94,51.01,93,100,3.06
145,Ponta Do Sol,PT,2020-02-20 21:35:07,32.67,-17.1,57.2,71,40,13.87
146,Yaan,NG,2020-02-20 21:35:08,7.38,8.57,84.96,14,4,4.21
147,Mount Isa,AU,2020-02-20 21:35:08,-20.73,139.5,78.8,19,0,6.93
148,Shieli,KZ,2020-02-20 21:35:09,44.17,66.75,34.57,50,100,2.77
149,Ipixuna,BR,2020-02-20 21:35:09,-1.76,-48.8,77.0,94,75,2.24
150,Tripoli,LY,2020-02-20 21:35:09,32.88,13.19,59.67,67,100,12.68
151,Bredasdorp,ZA,2020-02-20 21:35:09,-34.53,20.04,63.0,82,7,2.24
152,Chokurdakh,RU,2020-02-20 21:35:10,70.63,147.92,-14.17,96,93,3.56
153,Fuzhou,CN,2020-02-20 21:30:30,26.06,119.31,55.4,62,75,4.47
154,Shibganj,BD,2020-02-20 21:35:10,24.68,88.16,66.88,47,33,3.31
155,Victoria,HK,2020-02-20 21:35:10,22.29,114.16,63.0,67,0,4.7
156,Tevaitoa,PF,2020-02-20 21:35:00,-16.78,-151.5,82.69,77,99,18.45
157,Mangrol,IN,2020-02-20 21:35:11,21.12,70.12,76.68,69,0,9.82
158,Faanui,PF,2020-02-20 21:35:11,-16.48,-151.75,82.69,78,100,18.72
159,Yangambi,CD,2020-02-20 21:35:11,0.81,24.43,76.64,62,0,1.07
160,Tasiilaq,GL,2020-02-20 21:35:11,65.61,-37.64,23.0,73,100,8.05
161,Rawson,AR,2020-02-20 21:34:42,-43.3,-65.1,57.87,66,0,26.24
162,Hirara,JP,2020-02-20 21:35:12,24.8,125.28,68.29,72,0,20.13
163,Kharitonovo,RU,2020-02-20 21:35:12,61.4,47.5,20.5,97,31,4.5
164,Hay River,CA,2020-02-20 21:35:13,60.82,-115.8,37.4,44,20,18.34
165,Jidong,CN,2020-02-20 21:35:13,45.22,131.08,13.23,83,100,2.37
166,Fonte Boa,BR,2020-02-20 21:35:13,-2.5,-66.27,82.09,76,100,1.92
167,Jamestown,US,2020-02-20 21:33:31,42.1,-79.24,24.8,72,90,11.41
168,Fairbanks,US,2020-02-20 21:35:13,64.84,-147.72,25.0,73,90,9.17
169,Amahai,ID,2020-02-20 21:35:14,-3.33,128.92,82.44,74,100,18.01
170,Harper,LR,2020-02-20 21:35:14,4.38,-7.72,78.19,89,40,2.21
171,Elko,US,2020-02-20 21:35:15,41.0,-115.5,41.0,27,1,5.82
172,Namibe,AO,2020-02-20 21:35:15,-15.2,12.15,75.43,75,99,17.38
173,Paka,MY,2020-02-20 21:35:18,4.64,103.44,80.6,83,67,10.29
174,Nouadhibou,MR,2020-02-20 21:35:18,20.93,-17.03,66.2,77,0,17.22
175,Havre-Saint-Pierre,CA,2020-02-20 21:35:18,50.23,-63.6,-0.4,49,1,19.46
176,Bambous Virieux,MU,2020-02-20 21:35:18,-20.34,57.76,78.8,69,40,10.29
177,Abalak,RU,2020-02-20 21:35:19,58.13,68.59,30.45,96,100,6.26
178,Palmas,BR,2020-02-20 21:35:19,-10.21,-48.36,75.6,86,100,7.16
179,Kenora,CA,2020-02-20 21:35:19,49.82,-94.43,15.8,66,5,17.22
180,Mehamn,NO,2020-02-20 21:35:19,71.04,27.85,24.8,73,89,23.04
181,Awjilah,LY,2020-02-20 21:35:20,29.11,21.29,57.02,65,68,9.37
182,Butaritari,KI,2020-02-20 21:35:20,3.07,172.79,83.17,80,100,13.94
183,Mbour,SN,2020-02-20 21:35:20,14.42,-16.96,73.4,78,67,16.11
184,Saint George,US,2020-02-20 21:30:28,37.1,-113.58,57.0,18,1,3.36
185,Lagoa,PT,2020-02-20 21:35:21,39.05,-27.98,56.82,61,67,8.55
186,Turukhansk,RU,2020-02-20 21:35:21,65.82,87.98,28.4,98,100,3.76
187,Barranco,PA,2020-02-20 21:35:21,9.52,-82.7,84.0,78,58,5.82
188,Bengkulu,ID,2020-02-20 21:35:21,-3.8,102.27,72.91,90,86,4.21
189,Praia Da Vitoria,PT,2020-02-20 21:35:22,38.73,-27.07,51.8,81,20,4.36
190,Anloga,GH,2020-02-20 21:35:22,5.79,0.9,84.2,89,20,8.05
191,Hithadhoo,MV,2020-02-20 21:35:22,-0.6,73.08,83.55,76,0,12.48
192,La Reforma,MX,2020-02-20 21:35:22,25.08,-108.05,90.0,33,5,9.17
193,Larap,PH,2020-02-20 21:35:22,14.3,122.65,78.21,75,33,29.19
194,Jumla,NP,2020-02-20 21:35:23,29.27,82.18,31.64,60,60,4.76
195,Komsomolskiy,UZ,2020-02-20 21:35:23,40.43,71.72,33.8,69,0,4.7
196,North Bend,US,2020-02-20 21:35:23,43.41,-124.22,61.0,71,1,6.93
197,Mahebourg,MU,2020-02-20 21:35:24,-20.41,57.7,78.8,69,40,10.29
198,Geraldton,AU,2020-02-20 21:35:24,-28.77,114.6,75.2,78,99,3.36
199,Puerto Ayora,EC,2020-02-20 21:35:24,-0.74,-90.35,80.6,83,75,9.17
200,Solnechnyy,RU,2020-02-20 21:35:24,50.72,136.63,-2.9,89,35,2.42
201,Torbay,CA,2020-02-20 21:35:24,47.67,-52.73,18.0,61,75,31.09
202,Benguela,AO,2020-02-20 21:35:25,-12.58,13.41,81.14,77,94,3.33
203,Hambantota,LK,2020-02-20 21:35:25,6.12,81.12,79.88,83,4,21.18
204,Kruisfontein,ZA,2020-02-20 21:35:16,-34.0,24.73,64.78,91,55,3.89
205,Szolnok,HU,2020-02-20 21:31:19,47.18,20.2,37.0,74,0,4.7
206,Norman Wells,CA,2020-02-20 21:35:25,65.28,-126.83,17.6,92,20,4.7
